source,target,relation
2022/1288,2010/1093,references
2022/1288,2010/1094,references
2022/1288,2010/1095,references
2022/1288,2011/0061,references
2022/1288,2012/0236,references
2022/1288,2013/0575,references
2022/1288,2016/1011,references
2022/1288,2017/2402,references
2022/1288,2018/1999,references
2022/1288,2020/0852,references
2022/1288,2020/1818,references
2022/1288,2021/2139,references
2022/1288,2021/2178,references
2023/363,2010/1093,references
2023/363,2010/1094,references
2023/363,2010/1095,references
2023/363,2020/0852,references
2023/363,2021/2139,references
2023/363,2021/2178,references
2023/363,2022/1214,references
2023/363,2010/1093,references
2023/363,2010/1094,references
2023/363,2010/1095,references
2023/363,2020/0852,references
2023/363,2021/2139,references
2023/363,2021/2178,references
2023/363,2022/1214,references
2020/852,2016/191,references
2020/852,2016/290,references
2020/852,2016/003,references
2020/852,2016/005,references
2020/852,1991/0271,references
2020/852,1991/0676,references
2020/852,1992/0043,references
2020/852,1994/0062,references
2020/852,1997/0338,references
2020/852,1998/0083,references
2020/852,1999/0031,references
2020/852,2000/0532,references
2020/852,2000/0053,references
2020/852,2000/0060,references
2020/852,2001/0042,references
2020/852,2004/0035,references
2020/852,2004/0107,references
2020/852,2006/0007,references
2020/852,2006/0066,references
2020/852,2006/0118,references
2020/852,2006/1013,references
2020/852,2006/1907,references
2020/852,2008/0050,references
2020/852,2008/0056,references
2020/852,2008/0098,references
2020/852,2008/0105,references
2020/852,2009/0031,references
2020/852,2009/0125,references
2020/852,2009/0147,references
2020/852,2009/1221,references
2020/852,2010/0075,references
2020/852,2010/0066,references
2020/852,2010/0995,references
2020/852,2010/1093,references
2020/852,2010/1094,references
2020/852,2010/1095,references
2020/852,2011/0065,references
2020/852,2011/0092,references
2020/852,2012/0019,references
2020/852,2012/0027,references
2020/852,2013/1386,references
2020/852,2013/0179,references
2020/852,2013/0034,references
2020/852,2013/0525,references
2020/852,2013/1380,references
2020/852,2014/0955,references
2020/852,2014/0023,references
2020/852,2014/0024,references
2020/852,2014/0025,references
2020/852,2014/0511,references
2020/852,2014/0538,references
2020/852,2014/0600,references
2020/852,2014/1143,references
2020/852,2014/1286,references
2020/852,2014/1357,references
2020/852,2015/1017,references
2020/852,2016/1841,references
2020/852,2016/0802,references
2020/852,2016/2284,references
2020/852,2017/0848,references
2020/852,2017/1129,references
2020/852,2017/1369,references
2020/852,2018/0844,references
2020/852,2018/2001,references
2020/852,2018/0841,references
2020/852,2019/0883,references
2020/852,2019/0904,references
2020/852,2019/1021,references
2020/852,2019/1238,references
2020/852,2020/0852,references
2020/852,2003/0251,references
2020/852,2007/0414,references
2020/852,2008/0400,references
2020/852,2011/0244,references
2020/852,2012/0673,references
2020/852,2013/0249,references
2020/852,2013/0659,references
2020/852,2015/0614,references
2020/852,2016/0087,references
2020/852,2018/2767,references
2020/852,2018/0028,references
2020/852,2018/0097,references
2020/852,2018/0215,references
2020/852,2019/0128,references
2020/852,2019/0352,references
2021/2139,2006/1893,references
2021/2139,2010/0075,references
2021/2139,2013/0179,references
2021/2139,2013/0034,references
2021/2139,2018/2001,references
2021/2139,2019/0640,references
2021/2139,2020/0380,references
2021/2139,2020/0562,references
2021/2139,2020/0663,references
2021/2139,2020/0789,references
2021/2139,2020/0563,references
2021/2139,2021/0082,references
2021/2178,2009/0065,references
2021/2178,2009/0138,references
2021/2178,2011/0061,references
2021/2178,2013/0034,references
2021/2178,2013/0575,references
2021/2178,2019/2088,references
2021/2178,2021/2139,references
2014/95,2013/0036,references
2022/246,2017/0040,references
2019/2034,2016/157,references
